yourlist:M2022031492C7BAECDB1C5C413EE0E0348724B68245F46EG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
6jon	M5AAG8	M5AAG8_9CAUD	unreviewed	Primase		Nitratiruptor phage NrS-1	718
6max	Q9X1H4	RNPA_THEMA	reviewed	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA TM_1463	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	117
6tyz	A0A1L8EVE5	A0A1L8EVE5_XENLA	unreviewed	X-ray repair cross-complementing protein 5 (EC 3.6.4.-)	XELAEV_18044412mg	Xenopus laevis (African clawed frog)	726
5w7x,6tyz	Q8IW19	APLF_HUMAN	reviewed	Aprataxin and PNK-like factor (EC 3.1.-.-) (Apurinic-apyrimidinic endonuclease APLF) (PNK and APTX-like FHA domain-containing protein) (XRCC1-interacting protein 1)	APLF C2orf13 PALF XIP1	Homo sapiens (Human)	511
6klk	Q9I676	HYDA_PSEAE	reviewed	D-hydantoinase/dihydropyrimidinase (DHPase) (EC 3.5.2.2)	dht PA0441	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	479
6dql	D3KVD8	D3KVD8_STRPY	unreviewed	Putative transcription regulator	rgg	Streptococcus pyogenes	280
6jfk	O95140	MFN2_HUMAN	reviewed	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	MFN2 CPRP1 KIAA0214	Homo sapiens (Human)	757
6qk8	P29311	BMH1_YEAST	reviewed	Protein BMH1	BMH1 YER177W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	267
6qk8	Q99271	NAH1_YEAST	reviewed	Na(+)/H(+) antiporter	NHA1 YLR138W L3149 L9606.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	985
6haj,6ha4,6hah	B6HWK0	B6HWK0_PENRW	unreviewed	Pc24g00380 protein	Pc24g00380 PCH_Pc24g00380	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum)	92
6efk,6nsv	Q9UNE7	CHIP_HUMAN	reviewed	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	Homo sapiens (Human)	303
6nlj	Q9HY79	Q9HY79_PSEAE	unreviewed	Bacterioferritin (EC 1.16.3.1)	bfrB PA3531	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	158
6kmj	P32597	STH1_YEAST	reviewed	Nuclear protein STH1/NPS1 (EC 3.6.4.12) (ATP-dependent helicase STH1) (Chromatin structure-remodeling complex protein STH1) (SNF2 homolog)	STH1 NPS1 YIL126W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1359
2h2g,2jmj,2rnw,2rnx,3mp1,3mp6,4psx,5d7e,5iok,6kmj	P61830	H3_YEAST	reviewed	Histone H3	HHT1 YBR010W YBR0201; HHT2 SIN2 YNL031C N2749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	136
4zph,6e3s	P53762	ARNT_MOUSE	reviewed	Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)	Arnt	Mus musculus (Mouse)	791
4zph,6e3s	P97481	EPAS1_MOUSE	reviewed	Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)	Epas1 Hif2a	Mus musculus (Mouse)	874
6om2	P01137	TGFB1_HUMAN	reviewed	Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)]	TGFB1 TGFB	Homo sapiens (Human)	390
4um9,6om2	P06756	ITAV_HUMAN	reviewed	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	ITGAV MSK8 VNRA VTNR	Homo sapiens (Human)	1048
6om2	P26012	ITB8_HUMAN	reviewed	Integrin beta-8	ITGB8	Homo sapiens (Human)	769
6n55,6n53,6n54	Q9BZX2	UCK2_HUMAN	reviewed	Uridine-cytidine kinase 2 (UCK 2) (EC 2.7.1.48) (Cytidine monophosphokinase 2) (Testis-specific protein TSA903) (Uridine monophosphokinase 2)	UCK2 UMPK	Homo sapiens (Human)	261
5ci7,4wno,4wnp,6qas	O75385	ULK1_HUMAN	reviewed	Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1)	ULK1 KIAA0722	Homo sapiens (Human)	1050
2peh,4oz1,6en4,6n3e	O75533	SF3B1_HUMAN	reviewed	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	SF3B1 SAP155	Homo sapiens (Human)	1304
6seo	A6NEQ2	F181B_HUMAN	reviewed	Protein FAM181B	FAM181B	Homo sapiens (Human)	426
6ueg	A6V1E4	LPXA_PSEA7	reviewed	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA PSPA7_1495	Pseudomonas aeruginosa (strain PA7)	258
6qts,6qtq	Q9FN03	UVR8_ARATH	reviewed	Ultraviolet-B receptor UVR8 (Protein UV-B RESISTANCE 8) (RCC1 domain-containing protein UVR8)	UVR8 At5g63860 MGI19.7	Arabidopsis thaliana (Mouse-ear cress)	440
6prg	A0A0H2URJ7	A0A0H2URJ7_STRPN	unreviewed	Sugar ABC transporter, sugar-binding protein	rafE SP_1897	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	419
6r0x	O95866	G6B_HUMAN	reviewed	Megakaryocyte and platelet inhibitory receptor G6b (Protein G6b)	MPIG6B C6orf25 G6B G6B-B	Homo sapiens (Human)	241
6bs5	I6Y498	I6Y498_MYCTU	unreviewed	Probable anion transporter ATPase	Rv3680	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	386
6iiw	Q15004	PAF15_HUMAN	reviewed	PCNA-associated factor (Hepatitis C virus NS5A-transactivated protein 9) (HCV NS5A-transactivated protein 9) (Overexpressed in anaplastic thyroid carcinoma 1) (OEATC-1) (PCNA-associated factor of 15 kDa) (PAF15) (p15PAF) (PCNA-clamp-associated factor)	PCLAF KIAA0101 NS5ATP9 PAF L5	Homo sapiens (Human)	111
3shb,3sou,3t6r,2l3r,3sow,3zvy,4gy5,3ask,3asl,5iay,5xpi,5yy9,6iiw	Q96T88	UHRF1_HUMAN	reviewed	E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (Inverted CCAAT box-binding protein of 90 kDa) (Nuclear protein 95) (Nuclear zinc finger protein Np95) (HuNp95) (hNp95) (RING finger protein 106) (RING-type E3 ubiquitin transferase UHRF1) (Transcription factor ICBP90) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (hUHRF1) (Ubiquitin-like-containing PHD and RING finger domains protein 1)	UHRF1 ICBP90 NP95 RNF106	Homo sapiens (Human)	793
6pi5,6pii,6pi6	Q936X6	Q936X6_PSESD	unreviewed	Bmp domain-containing protein	orf97 AOX63_31690	Pseudomonas sp. (strain ADP)	360
6jjz	Q80TS7	DEND_MOUSE	reviewed	Dendrin	Ddn Gm748 Kiaa0749	Mus musculus (Mouse)	710
6jjz	Q9WVQ1	MAGI2_MOUSE	reviewed	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 (Activin receptor-interacting protein 1) (Acvrip1) (Atrophin-1-interacting protein 1) (AIP-1) (Membrane-associated guanylate kinase inverted 2) (MAGI-2)	Magi2 Acvrinp1 Aip1 Arip1	Mus musculus (Mouse)	1275
6j0g,6j0k	O00478	BT3A3_HUMAN	reviewed	Butyrophilin subfamily 3 member A3	BTN3A3 BTF3	Homo sapiens (Human)	584
6etg,6ets	Q6B0I6	KDM4D_HUMAN	reviewed	Lysine-specific demethylase 4D (EC 1.14.11.66) (JmjC domain-containing histone demethylation protein 3D) (Jumonji domain-containing protein 2D) ([histone H3]-trimethyl-L-lysine(9) demethylase 4D)	KDM4D JHDM3D JMJD2D	Homo sapiens (Human)	523
1jm4,1wug,1wum,2rnw,2rnx,5fe9,5lvr,5fe7,5fdz,5fe6,5lvq,5mkx,6j3o	Q92831	KAT2B_HUMAN	reviewed	Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57)	KAT2B PCAF	Homo sapiens (Human)	832
6h1d	Q9UI30	TR112_HUMAN	reviewed	Multifunctional methyltransferase subunit TRM112-like protein (tRNA methyltransferase 112 homolog)	TRMT112 AD-001 HSPC152 HSPC170	Homo sapiens (Human)	125
6h1d	Q9Y5N5	N6MT1_HUMAN	reviewed	Methyltransferase N6AMT1 (HemK methyltransferase family member 2) (M.HsaHemK2P) (Lysine N-methyltransferase 9) (EC 2.1.1.-) (Methylarsonite methyltransferase N6AMT1) (EC 2.1.1.-) (Protein N(5)-glutamine methyltransferase) (EC 2.1.1.-)	N6AMT1 C21orf127 HEMK2 KMT9 PRED28	Homo sapiens (Human)	214
3ttn,6ikm	Q9I6J0	SPUE_PSEAE	reviewed	Spermidine-binding periplasmic protein SpuE	spuE PA0301	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	365
6bs3,6bs5,6bs4	P9WKX5	Y3679_MYCTU	reviewed	Putative ATPase Rv3679	Rv3679 MTV025.027	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	340
6sen	Q8N9Y4	F181A_HUMAN	reviewed	Protein FAM181A	FAM181A C14orf152 HSD-31 HSD31	Homo sapiens (Human)	354
2ig0,3lgl,2mwp,2mwo,4x34,6rml,6rmm	Q12888	TP53B_HUMAN	reviewed	TP53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1)	TP53BP1	Homo sapiens (Human)	1972
3al3,3ueo,6rml,6rmm	Q92547	TOPB1_HUMAN	reviewed	DNA topoisomerase 2-binding protein 1 (DNA topoisomerase II-beta-binding protein 1) (TopBP1) (DNA topoisomerase II-binding protein 1)	TOPBP1 KIAA0259	Homo sapiens (Human)	1522
6ift	P37468	RSMA_BACSU	reviewed	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA BSU00420	Bacillus subtilis (strain 168)	292
6hq7,6hq3,6hq4	Q6MLN6	Q6MLN6_BDEBA	unreviewed	Uncharacterized protein	Bd1971	Bdellovibrio bacteriovorus (strain ATCC 15356 / DSM 50701 / NCIMB 9529 / HD100)	400
6h9v	B5BTR7	B5BTR7_9CALI	unreviewed	VP1		Norovirus Hu/GII-4/Saga4/2006/JP	540
6n3f,6n3e,6nsx	O43719	HTSF1_HUMAN	reviewed	HIV Tat-specific factor 1 (Tat-SF1)	HTATSF1	Homo sapiens (Human)	755
6qtr,6qto	O24646	HY5_ARATH	reviewed	Transcription factor HY5 (Protein LONG HYPOCOTYL 5) (bZIP transcription factor 56) (AtbZIP56)	HY5 BZIP56 At5g11260 F2I11_150	Arabidopsis thaliana (Mouse-ear cress)	168
5c5h,6nj0	P37353	MENE_ECOLI	reviewed	2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase)	menE b2260 JW2255	Escherichia coli (strain K12)	451
1jd0,4ht2,4kp8,4kp5,4ww8,4qjw,4q0l,4qjo,4qj0,5llo,5llp,5ll9,5ll5,5msb,6g7a,6g5l	O43570	CAH12_HUMAN	reviewed	Carbonic anhydrase 12 (EC 4.2.1.1) (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3)	CA12	Homo sapiens (Human)	354
4jsr,4jt9,4jt8,4fz3,4bvb,6iso	Q9NTG7	SIR3_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial (hSIRT3) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 3) (SIR2-like protein 3)	SIRT3 SIR2L3	Homo sapiens (Human)	399
6seo,6sen,6q36	Q15561	TEAD4_HUMAN	reviewed	Transcriptional enhancer factor TEF-3 (TEA domain family member 4) (TEAD-4) (Transcription factor 13-like 1) (Transcription factor RTEF-1)	TEAD4 RTEF1 TCF13L1 TEF3	Homo sapiens (Human)	434
1jpl,1lf8,6n5x	P11717	MPRI_HUMAN	reviewed	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)	IGF2R MPRI	Homo sapiens (Human)	2491
6n5x	Q9Y5X3	SNX5_HUMAN	reviewed	Sorting nexin-5	SNX5	Homo sapiens (Human)	404
6ntj,6nti	C4NV15	C4NV15_ECOLX	unreviewed	Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81)	aacC aac(3)-VIa aacC6 EAN77_27820 pAPEC1990_61_126 pAR060302_0140 pAR060302_133 peH4H_0115 RCS58_P0024 RCS79_P0021 WP2S18E08_08670	Escherichia coli	300
6pi1,6phz,6pht,6pic,6phr,6pia,6pid	A0A0J7JFD7	A0A0J7JFD7_9GAMM	unreviewed	Acetoin utilization deacetylase AcuC	Msub_13096	Marinobacter subterrani	343
6mm5	E9Q401	RYR2_MOUSE	reviewed	Ryanodine receptor 2 (RYR-2) (RyR2) (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Type 2 ryanodine receptor)	Ryr2	Mus musculus (Mouse)	4966
1re8,1rek,1rej,2erz,3ow3,6mm5	P05132	KAPCA_MOUSE	reviewed	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	Prkaca Pkaca	Mus musculus (Mouse)	351
4qt0,4qsm,5w8i,5w8h,5w8j,5zjf	P00338	LDHA_HUMAN	reviewed	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDHA PIG19	Homo sapiens (Human)	332
6iae,6ia7	Q381A3	IFT22_TRYB2	reviewed	Intraflagellar transport protein 22	IFT22 Tb11.01.8590	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	219
6qtw	Q43125	CRY1_ARATH	reviewed	Cryptochrome-1 (AtCry) (Atcry1) (Blue light photoreceptor) (Protein BLUE LIGHT UNINHIBITED 1) (Protein ELONGATED HYPOCOTYL 4) (Protein OUT OF PHASE 2) (OOP2)	CRY1 BLU1 HY4 At4g08920 T3H13.14 T3H13.5	Arabidopsis thaliana (Mouse-ear cress)	681
6a5e	Q6NLF4	LLG2_ARATH	reviewed	GPI-anchored protein LLG2 (LORELEI-like-GPI-anchored protein 2)	LLG2 At2g20700	Arabidopsis thaliana (Mouse-ear cress)	163
6a5e	Q9LUS7	RLF23_ARATH	reviewed	Rapid alkalinization factor 23 (AtRALF23) (Protein RALF-like 23)	RALF23 RALFL23 At3g16570 MGL6.2	Arabidopsis thaliana (Mouse-ear cress)	138
6a5e	Q9SCZ4	FERON_ARATH	reviewed	Receptor-like protein kinase FERONIA (EC 2.7.11.1) (Protein SIRENE)	FER AAK1 SIR SRN At3g51550 F26O13.190	Arabidopsis thaliana (Mouse-ear cress)	895
4prg,1fm9,1i7i,1nyx,1rdt,2f4b,2ath,1zeo,2gtk,2g0h,2hfp,2g0g,2i4z,2i4p,2i4j,2q8s,3cs8,3bc5,2p4y,3g9e,3fej,3ia6,3fur,3h0a,3lmp,3adt,3adu,3ads,3adv,3osw,3osi,3ty0,3b1m,3u9q,3sz1,4a4v,3r5n,4a4w,3r8i,2yfe,3t03,4fgy,4jaz,4xum,4xta,4y29,4xuh,4r06,5f9b,5u5l,5lsg,5two,6c5t,6c5q,5ugm,6avi,6an1,6ilq,6dha,6fzf,6fzg,6fzp,6fzj,6md4,6md0,6o68,6dgr,6dgl,6dgq,6dgo	P37231	PPARG_HUMAN	reviewed	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	PPARG NR1C3	Homo sapiens (Human)	505
4k55,4jkw,4n7u,6j06,5zxk	O00481	BT3A1_HUMAN	reviewed	Butyrophilin subfamily 3 member A1 (CD antigen CD277)	BTN3A1 BTF5	Homo sapiens (Human)	513
2fts,4u91,4tk1,4tk2,4u90,4tk3,4tk4,6fgc	Q03555	GEPH_RAT	reviewed	Gephyrin (Putative glycine receptor-tubulin linker protein) [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)]	Gphn Gph	Rattus norvegicus (Rat)	768
6gfm	P0ADR8	PPNN_ECOLI	reviewed	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase (EC 3.2.2.-) (EC 3.2.2.10) (AMP nucleosidase) (EC 3.2.2.4) (CMP nucleosidase) (GMP nucleosidase) (IMP nucleosidase) (UMP nucleosidase) (dTMP nucleosidase)	ppnN ygdH b2795 JW2766	Escherichia coli (strain K12)	454
6om4	Q47506	Q47506_ECOLX	unreviewed	MccB protein	mccB	Escherichia coli	350
6dzx	C6S9R8	C6S9R8_NEIME	unreviewed	Lipoprotein	sfbA NME_0028	Neisseria meningitidis alpha153	287
6bnh,6gdy	Q6NYC1	JMJD6_HUMAN	reviewed	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR)	JMJD6 KIAA0585 PSR PTDSR	Homo sapiens (Human)	403
6cse,6csf	Q6LX42	AGCS_METMP	reviewed	Sodium/alanine symporter AgcS (Alanine permease)	agcS MMP1511	Methanococcus maripaludis (strain S2 / LL)	453
6r1b	P71619	P71619_MYCTU	unreviewed	Probable Sn-glycerol-3-phosphate-binding lipoprotein UgpB	ugpB Rv2833c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	436
5zdb,5zdd,5zdc,5zde,5zdf,5zdg	Q9RZM4	Q9RZM4_DEIRA	unreviewed	DUF2263 domain-containing protein	DR_B0099	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	285
6d8v	Q92SH9	Q92SH9_RHIME	unreviewed	Probable chemoreceptor (Methyl-accepting chemotaxis) transmembrane protein	mcpX SMc01104	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	788
6czf,6ott	P0AG16	PUR1_ECOLI	reviewed	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF b2312 JW2309	Escherichia coli (strain K12)	505
6qzr	Q12778	FOXO1_HUMAN	reviewed	Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma)	FOXO1 FKHR FOXO1A	Homo sapiens (Human)	655
6sge	P62745	RHOB_HUMAN	reviewed	Rho-related GTP-binding protein RhoB (Rho cDNA clone 6) (h6)	RHOB ARH6 ARHB	Homo sapiens (Human)	196
6j7l	Q9HZZ1	EARP_PSEAE	reviewed	Protein-arginine rhamnosyltransferase (EC 2.4.1.-) (EF-P arginine rhamnosyltransferase)	earP PA2852	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	376
6p14,6p11,6p12,6nyw,6p10,6nyv	Q8I0P1	SPAST_DROME	reviewed	Spastin (EC 5.6.1.1) (D-Spastin) (Dm-Spastin) (Dspastin)	spas CG5977	Drosophila melanogaster (Fruit fly)	758
1xh3,1xr8,1zhk,1xr9,1zhl,4o2e,4o2f,4o2c,4prn,4pr5,4mji,5u98,5t70,5t6z,6bj3,6bj2,6mt6,6mt4,6mt5	P01889	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362
1f3e,1enu,1k4g,1k4h,1n2v,1q4w,1r5y,1q63,1q66,1s39,1q65,1s38,2qzr,2z1w,3gc4,3ge7,3eos,3gc5,3eou,3rr4,3tll,3s1g,3sm0,4q4s,4pul,4q4q,4pum,4lbu,4leq,4q4o,4puj,4q4r,4q4p,4puk,4kwo,5jxq,6fmn,6fpu	P28720	TGT_ZYMMO	reviewed	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt ZMO0363	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	386
6dkp	A0A075B6T6	TVAL2_HUMAN	reviewed	T cell receptor alpha variable 12-2	TRAV12-2	Homo sapiens (Human)	113
3hg1,3ard,3arb,3arg,3are,3arf,3o4l,4jff,4jfe,4jfd,4prp,4prh,4pri,4y16,5brz,5bs0,5jzi,6dkp	P01848	TRAC_HUMAN	reviewed	T cell receptor alpha chain constant	TRAC TCRA	Homo sapiens (Human)	140
3hg1,3l6f,3qfd,4jff,4wj5,4qok,6d78,6dkp	Q16655	MAR1_HUMAN	reviewed	Melanoma antigen recognized by T-cells 1 (MART-1) (Antigen LB39-AA) (Antigen SK29-AA) (Protein Melan-A)	MLANA MART1	Homo sapiens (Human)	118
4gkc,4exz,4ede,4efg,4eej,4ruu,6e7m,6e5s	P50120	RET2_HUMAN	reviewed	Retinol-binding protein 2 (Cellular retinol-binding protein II) (CRBP-II)	RBP2 CRBP2	Homo sapiens (Human)	134
1r2b,3bim,3lbz,5h7h,5h7g,5mw2,5x9p,5mw6,5mwd,5n20,5n1z,5x4q,5n21,5x4m,5x9o,5n1x,5x4n,5x4o,5x4p,6ew7,6ew6,6cq1,6c3n,6c3l	P41182	BCL6_HUMAN	reviewed	B-cell lymphoma 6 protein (BCL-6) (B-cell lymphoma 5 protein) (BCL-5) (Protein LAZ-3) (Zinc finger and BTB domain-containing protein 27) (Zinc finger protein 51)	BCL6 BCL5 LAZ3 ZBTB27 ZNF51	Homo sapiens (Human)	706
6m8q	Q9UKF6	CPSF3_HUMAN	reviewed	Cleavage and polyadenylation specificity factor subunit 3 (EC 3.1.27.-) (Cleavage and polyadenylation specificity factor 73 kDa subunit) (CPSF 73 kDa subunit) (mRNA 3'-end-processing endonuclease CPSF-73)	CPSF3 CPSF73	Homo sapiens (Human)	684
6rtw	Q13635	PTC1_HUMAN	reviewed	Protein patched homolog 1 (PTC) (PTC1)	PTCH1 PTCH	Homo sapiens (Human)	1447
3b0w,4nb6,4nie,4wlb,4zjr,5apj,5aph,4xt9,4zjw,4wpf,5c4u,5c4t,5c4s,4zom,5c4o,4ymq,5eth,5ejv,5g46,5g43,5g45,5g42,5ntw,5ntp,5nu1,5ntq,5ntk,5ufr,5uhi,5ufo,5vb5,5vb6,5w4r,5w4v,5vb7,5za1,5ni5,6esn,6fgq,5nib,5ni8,5ni7,6br2,6br3,6fzu,6g07,6b31,6cn6,6b30,6b33,5yp6,5yp5,6cn5,6sal,6q6m,6q7h,6q6o,6r7j,6e3g,6r7k,6q7a,6nad,6j1l	P51449	RORG_HUMAN	reviewed	Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma)	RORC NR1F3 RORG RZRG	Homo sapiens (Human)	518
6py0	P04918	SAA3_MOUSE	reviewed	Serum amyloid A-3 protein	Saa3	Mus musculus (Mouse)	122
3czv,4knm,4knn,4hu1,4qjp,4qjx,4qiz,5e2n,5lla,6g5u	Q8N1Q1	CAH13_HUMAN	reviewed	Carbonic anhydrase 13 (EC 4.2.1.1) (Carbonate dehydratase XIII) (Carbonic anhydrase XIII) (CA-XIII)	CA13	Homo sapiens (Human)	262
6qts,6qtq,6qtr,6qto,6qtw,6qtx	P43254	COP1_ARATH	reviewed	E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1) (RING-type E3 ubiquitin transferase COP1)	COP1 At2g32950 T21L14.11	Arabidopsis thaliana (Mouse-ear cress)	675
6qtx	Q9SK53	COL3_ARATH	reviewed	Zinc finger protein CONSTANS-LIKE 3	COL3 At2g24790 F27C12.29	Arabidopsis thaliana (Mouse-ear cress)	294
6qzh	P32248	CCR7_HUMAN	reviewed	C-C chemokine receptor type 7 (C-C CKR-7) (CC-CKR-7) (CCR-7) (BLR2) (CDw197) (Epstein-Barr virus-induced G-protein coupled receptor 1) (EBI1) (EBV-induced G-protein coupled receptor 1) (MIP-3 beta receptor) (CD antigen CD197)	CCR7 CMKBR7 EBI1 EVI1	Homo sapiens (Human)	378
1tr7,1uwf,4av0,4auy,4avi,4avj,4avh,4av5,4av4,4att,4auj,4lov,4cst,4x5r,4x50,4x5q,4css,4x5p,5f2f,4xo8,5fwr,5fs5,5mts,5muc,6g2r,6g2s	P08191	FIMH_ECOLI	reviewed	Type 1 fimbrin D-mannose specific adhesin (Protein FimH)	fimH b4320 JW4283	Escherichia coli (strain K12)	300
1h26,1yc5,2h2d,2z5s,2z5t,3dab,2vuk,3oq5,3pdh,3tg5,4agm,4agn,4ago,4agp,4agl,4agq,4hfz,4bv2,2mwp,2mwo,4x34,5aba,5aom,5aoj,5a7b,5ab9,5aol,5aoi,5aok,2mwy,5g4n,5g4m,5g4o,5moc,5o1c,5o1g,5o1h,5o1b,5o1d,5o1f,5o1a,5o1e,5o1i,6gge,6gga,6ggd,6ggb,6ggf	P04637	P53_HUMAN	reviewed	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393
6aee	P04908	H2A1B_HUMAN	reviewed	Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m)	H2AC4 H2AFM HIST1H2AB; H2AC8 H2AFA HIST1H2AE	Homo sapiens (Human)	130
3cii,3bze,6aee	P17693	HLAG_HUMAN	reviewed	HLA class I histocompatibility antigen, alpha chain G (HLA G antigen) (MHC class I antigen G) [Cleaved into: Soluble HLA class I histocompatibility antigen, alpha chain G (sHLA-G)]	HLA-G HLA-6.0 HLAG	Homo sapiens (Human)	338
